00X,?,117,NS,Drums of Fire,Cut Chemist,Break Beat/Hip-Hop,,,,,
03A,Bb Min,94,,Runnin',The Pharcyde,Hip-Hop,,,,,
03A,Bb Min,94,,Shook Ones Pt. II,Mobb Deep,Hip-Hop,,,,,
03A,Bb Min,99,,Wu-Tang Clan Ain't Nuthing Ta Fuck Wit,Wu-Tang Clan,Hip-Hop,,,,,
03A,Bb Min,101,,The Choice is Yours (Revisited),Black Sheep,Hip-Hop,,,,,
03A,Bb Min,102,,Mama Said Knock You Out,LL Cool J,Hip-Hop,,,,,
03A,Bb Min,119,,Set It Off,Big Daddy Kane,Hip-Hop,,,,,
04A,F Min,95,,Made You Look,Nas,Hip-Hop,,,,03B,
04A,F Min,97,NS,San Andreas Theme,Michael Hunter,Hip-Hop,,,,09B,Score
04A,F Min,98,,They Want EFX,Das EFX,Hip-Hop,,,,,
05A,C Min,111,,Hip Hop is Dead,Nas,Hip-Hop,,,,,
06A,G Min,110,,Brothers on the Slide,Cymande,Funk/Soul,,,,,
07A,D Min,108,,Miracles,Jackson Sisters,R&B/Soul,,,,,
08A,A Min,96,,South Bronx,Boogie Down Productions,Hip-Hop,,,,,
09A,E Min,117,,Vitamin C,Can,Funk,,,,,
10A,B Min,95,,Survival of the Fittest,Mobb Deep,Hip-Hop,,,,,
10A,B Min,181,,C.R.E.A.M.,Wu-Tang Clan,Hip-Hop,,,*,,
11A,Gb Min,95,,Soul Brother #1,Pete Rock and C.L. Smooth,Hip-Hop,,,,,
11A,Gb Min,104,,I Know You Got Soul,Eric B and Rakim,Hip-Hop,,,,,
12A,Db Min,106,,Organ Donor,DJ Shadow,Hip-Hop,,,,,
01B,B Maj,93,,At the Helm,Hieroglyphics,Hip-Hop,,,,,
01B,B Maj,108,,Holy Ghost,The Bar-Kays,Funk/R&B/Soul,,,,,
01B,B Maj,110,NS,The 900 Number,45 King,Break Beat/Hip-Hop,,,,,
02B,Gb Maj,99,,Holy Calamity (Bear Witness II),Handsome Boy Modeling School,Break Beat/Hip-Hop,,,,,
02B,Gb Maj,108,,Hold On I'm Coming,Sam & Dave,R&B/Soul,,,,,
03B,Db Maj,94,,Ante Up,M.O.P.,Hip-Hop,,,,,
03B,Db Maj,95,,Sound of da Police,KRS-One,Hip-Hop,,,,,
03B,Db Maj,95,,Full Clip,Gang Starr,Hip-Hop,,,,,
03B,Db Maj,98,,Sure Shot,Beastie Boys,Hip-Hop,,,,,
03B,Db Maj,100,,Chief Rocka,Lords of the Underground,Hip-Hop,,,,,
04B,Ab Maj,97,,No Sleep Till Brooklyn,Beastie Boys,Hip-Hop,,,,,
04B,Ab Maj,111,,Chameleon,Herbie Hancock,Funk/Jazz,,,,,
04B,Ab Maj,116,,Juice (Know the Ledge),Eric B and Rakim,Hip-Hop,,,,,
